"","ID","cluster"
"Indiv1","1",4
"Indiv2","2",1
"Indiv3","3",2
"Indiv4","4",3
"Indiv5","5",4
"Indiv6","6",2
"Indiv7","7",1
"Indiv8","8",4
"Indiv9","9",3
"Indiv10","10",4
"Indiv11","11",3
"Indiv12","12",4
"Indiv13","13",4
"Indiv14","14",4
"Indiv15","15",4
"Indiv16","16",4
"Indiv17","17",4
"Indiv18","18",2
"Indiv19","19",3
"Indiv20","20",3
"Indiv21","21",2
"Indiv22","22",4
"Indiv23","23",4
"Indiv24","24",4
"Indiv25","25",1
"Indiv26","26",4
"Indiv27","27",4
"Indiv28","28",4
"Indiv29","29",3
"Indiv30","30",1
"Indiv31","31",4
"Indiv32","32",1
"Indiv33","33",2
"Indiv34","34",4
"Indiv35","35",4
"Indiv36","36",4
"Indiv37","37",1
"Indiv38","38",3
"Indiv39","39",4
"Indiv40","40",3
"Indiv41","41",4
"Indiv42","42",3
"Indiv43","43",4
"Indiv44","44",4
"Indiv45","45",4
"Indiv46","46",1
"Indiv47","47",4
"Indiv48","48",2
"Indiv49","49",3
"Indiv50","50",1
"Indiv51","51",4
"Indiv52","52",4
"Indiv53","53",4
"Indiv54","54",4
"Indiv55","55",4
"Indiv56","56",4
"Indiv57","57",4
"Indiv58","58",4
"Indiv59","59",4
"Indiv60","60",3
"Indiv61","61",4
"Indiv62","62",4
"Indiv63","63",4
"Indiv64","64",4
"Indiv65","65",4
"Indiv66","66",4
"Indiv67","67",4
"Indiv68","68",4
"Indiv69","69",4
"Indiv70","70",4
"Indiv71","71",3
"Indiv72","72",4
"Indiv73","73",4
"Indiv74","74",4
"Indiv75","75",4
"Indiv76","76",4
"Indiv77","77",4
"Indiv78","78",3
"Indiv79","79",4
"Indiv80","80",4
"Indiv81","81",4
"Indiv82","82",4
"Indiv83","83",4
"Indiv84","84",3
"Indiv85","85",4
"Indiv86","86",4
"Indiv87","87",4
"Indiv88","88",4
"Indiv89","89",3
"Indiv90","90",4
"Indiv91","91",3
"Indiv92","92",4
"Indiv93","93",4
"Indiv94","94",3
"Indiv95","95",2
"Indiv96","96",3
"Indiv97","97",2
"Indiv98","98",4
"Indiv99","99",4
"Indiv100","100",3
"Indiv101","101",4
"Indiv102","102",4
"Indiv103","103",3
"Indiv104","104",4
"Indiv105","105",3
"Indiv106","106",1
"Indiv107","107",4
"Indiv108","108",2
"Indiv109","109",4
"Indiv110","110",1
"Indiv111","111",4
"Indiv112","112",4
"Indiv113","113",2
"Indiv114","114",3
"Indiv115","115",1
"Indiv116","116",4
"Indiv117","117",3
"Indiv118","118",1
"Indiv119","119",3
"Indiv120","120",2
"Indiv121","121",1
"Indiv122","122",4
"Indiv123","123",4
"Indiv124","124",4
"Indiv125","125",3
"Indiv126","126",3
"Indiv127","127",4
"Indiv128","128",4
"Indiv129","129",1
"Indiv130","130",4
"Indiv131","131",1
"Indiv132","132",4
"Indiv133","133",1
"Indiv134","134",3
"Indiv135","135",1
"Indiv136","136",2
"Indiv137","137",2
"Indiv138","138",3
"Indiv139","139",3
"Indiv140","140",2
"Indiv141","141",4
"Indiv142","142",2
"Indiv143","143",2
"Indiv144","144",4
"Indiv145","145",4
"Indiv146","146",1
"Indiv147","147",4
"Indiv148","148",4
"Indiv149","149",1
"Indiv150","150",4
"Indiv151","151",3
"Indiv152","152",4
"Indiv153","153",4
"Indiv154","154",2
"Indiv155","155",3
"Indiv156","156",4
"Indiv157","157",4
"Indiv158","158",2
"Indiv159","159",4
"Indiv160","160",4
"Indiv161","161",4
"Indiv162","162",2
"Indiv163","163",4
"Indiv164","164",4
"Indiv165","165",1
"Indiv166","166",3
"Indiv167","167",2
"Indiv168","168",4
"Indiv169","169",4
"Indiv170","170",4
"Indiv171","171",1
"Indiv172","172",3
"Indiv173","173",4
"Indiv174","174",4
"Indiv175","175",2
"Indiv176","176",4
"Indiv177","177",4
"Indiv178","178",4
"Indiv179","179",4
"Indiv180","180",4
"Indiv181","181",4
"Indiv182","182",4
"Indiv183","183",4
"Indiv184","184",4
"Indiv185","185",4
"Indiv186","186",4
"Indiv187","187",2
"Indiv188","188",4
"Indiv189","189",1
"Indiv190","190",4
"Indiv191","191",4
"Indiv192","192",4
"Indiv193","193",3
"Indiv194","194",4
"Indiv195","195",3
"Indiv196","196",2
"Indiv197","197",4
"Indiv198","198",1
"Indiv199","199",3
"Indiv200","200",3
"Indiv201","201",3
"Indiv202","202",4
"Indiv203","203",4
"Indiv204","204",4
"Indiv205","205",1
"Indiv206","206",4
"Indiv207","207",4
"Indiv208","208",1
"Indiv209","209",3
"Indiv210","210",4
"Indiv211","211",1
"Indiv212","212",4
"Indiv213","213",4
"Indiv214","214",4
"Indiv215","215",4
"Indiv216","216",4
"Indiv217","217",4
"Indiv218","218",4
"Indiv219","219",3
"Indiv220","220",4
"Indiv221","221",2
"Indiv222","222",4
"Indiv223","223",4
"Indiv224","224",2
"Indiv225","225",4
"Indiv226","226",4
"Indiv227","227",3
"Indiv228","228",3
"Indiv229","229",4
"Indiv230","230",1
"Indiv231","231",2
"Indiv232","232",4
"Indiv233","233",4
"Indiv234","234",4
"Indiv235","235",3
"Indiv236","236",2
"Indiv237","237",4
"Indiv238","238",1
"Indiv239","239",3
"Indiv240","240",3
"Indiv241","241",4
"Indiv242","242",4
"Indiv243","243",3
"Indiv244","244",4
"Indiv245","245",2
"Indiv246","246",1
"Indiv247","247",4
"Indiv248","248",1
"Indiv249","249",2
"Indiv250","250",1
"Indiv251","251",2
"Indiv252","252",4
"Indiv253","253",2
"Indiv254","254",2
"Indiv255","255",3
"Indiv256","256",4
"Indiv257","257",3
"Indiv258","258",4
"Indiv259","259",4
"Indiv260","260",4
"Indiv261","261",4
"Indiv262","262",2
"Indiv263","263",2
"Indiv264","264",2
"Indiv265","265",3
"Indiv266","266",4
"Indiv267","267",2
"Indiv268","268",2
"Indiv269","269",2
"Indiv270","270",1
"Indiv271","271",1
"Indiv272","272",4
"Indiv273","273",3
"Indiv274","274",4
"Indiv275","275",3
"Indiv276","276",4
"Indiv277","277",2
"Indiv278","278",4
"Indiv279","279",4
"Indiv280","280",3
"Indiv281","281",2
"Indiv282","282",4
"Indiv283","283",4
"Indiv284","284",2
"Indiv285","285",2
"Indiv286","286",4
"Indiv287","287",4
"Indiv288","288",4
"Indiv289","289",4
"Indiv290","290",3
"Indiv291","291",3
"Indiv292","292",4
"Indiv293","293",4
"Indiv294","294",1
"Indiv295","295",4
"Indiv296","296",4
"Indiv297","297",4
"Indiv298","298",4
"Indiv299","299",3
"Indiv300","300",1
"Indiv301","301",1
"Indiv302","302",2
"Indiv303","303",4
"Indiv304","304",1
"Indiv305","305",2
"Indiv306","306",4
"Indiv307","307",3
"Indiv308","308",4
"Indiv309","309",4
"Indiv310","310",4
"Indiv311","311",3
"Indiv312","312",2
"Indiv313","313",3
